host,home,year,category,anti_avoidance_rule,appl_max,conduit,min_rate_max,rate_shopping,min_rate_max_no_aa,rate_shopping_no_aa,min_available,min_available_no_aa,rate_weighted_mean,advantage_over_rest,equally_more_advantageous_conduit_exists,treaty_in_place
COL,ESP,2021,royalties_general,NA,10,0,10,0,10,0,10,10,18.778790034979778,8.778790034979778,0,1
COL,ESP,2021,shares,NA,0,0,0,0,0,0,0,0,9.72300060776141,9.72300060776141,0,1
COL,ESP,2021,technical_services,NA,10,1,0,10,10,0,0,10,18.52249625030403,8.52249625030403,1,1
IND,MUS,2004,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2004,interest_general,NA,20,1,10,10,10,10,10,10,15.32834621211682,-4.67165378788318,1,1
IND,MUS,2004,land_rich,NA,0,1,0,0,0,0,0,0,18.977070057680574,18.977070057680574,1,1
IND,MUS,2004,royalties_general,NA,15,1,10,5,10,5,10,10,16.8135076976706,1.8135076976706017,1,1
IND,MUS,2004,shares,NA,0,1,0,0,0,0,0,0,18.032101047839216,18.032101047839216,1,1
IND,MUS,2004,technical_services,NA,0,1,0,0,0,0,0,0,15.491441859302471,15.491441859302471,1,1
IND,MUS,2005,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2005,interest_general,NA,20,1,10,10,10,10,10,10,15.287597499941757,-4.712402500058243,1,1
IND,MUS,2005,land_rich,NA,0,1,0,0,0,0,0,0,18.808654902434178,18.808654902434178,1,1
IND,MUS,2005,royalties_general,NA,15,1,10,5,10,5,10,10,16.721518297551782,1.721518297551782,1,1
IND,MUS,2005,shares,NA,0,1,0,0,0,0,0,0,17.86368589259282,17.86368589259282,1,1
IND,MUS,2005,technical_services,NA,0,1,0,0,0,0,0,0,15.399452459183651,15.399452459183651,1,1
IND,MUS,2006,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2006,interest_general,NA,20,1,10,10,10,10,10,10,15.012595338057766,-4.987404661942234,1,1
IND,MUS,2006,land_rich,NA,0,1,0,0,0,0,0,0,18.808654902434178,18.808654902434178,1,1
