ctry1,ctry2,name,Status,Conclusion,Entry,Effective,Termination,ctry1_iso,ctry2_iso,paircode
Denmark,Gambia,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,GMB,DNK - GMB
Denmark,Ghana,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,GHA,DNK - GHA
Denmark,Malawi,Income Tax Treaty(1959),Status: Terminated,1959,NA,NA,1993,DNK,MWI,DNK - MWI
Denmark,Mauritius,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,MUS,DNK - MUS
Denmark,Nigeria,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,NGA,DNK - NGA
Denmark,Sierra Leone,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,SLE,DNK - SLE
Denmark,Uganda,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,UGA,DNK - UGA
Egypt,Germany,Income Tax Treaty(1959),Status: Terminated,1959,1961,1958,1992,EGY,DEU,EGY - DEU
Egypt,Kuwait,Income Tax Treaty(2004),Status: Terminated,2004,2006,2007,2017,EGY,KWT,EGY - KWT
Egypt,Serbia and Montenegro,Income Tax Treaty(1987),Status: Terminated,1987,1988,1989,2007,EGY,NA,EGY - NA
Denmark,India,Income Tax Treaty(1959),Status: Terminated,1959,NA,NA,1990,DNK,IND,DNK - IND
Denmark,Japan,Income Tax Treaty(1968),Status: Terminated,1968,1968,1968,2019,DNK,JPN,DNK - JPN
Denmark,Kazakhstan,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1988,1995,DNK,KAZ,DNK - KAZ
Denmark,Kiribati,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,KIR,DNK - KIR
Denmark,Kyrgyzstan,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1988,NA,DNK,KGZ,DNK - KGZ
Denmark,Pakistan,Income Tax Treaty(1961),Status: Terminated,1961,1962,1959,1988,DNK,PAK,DNK - PAK
Denmark,Philippines,Income and Capital Tax Treaty(1966),Status: Terminated,1966,1973,1974,1997,DNK,PHL,DNK - PHL
Denmark,Singapore,Income Tax Treaty(1986),Status: Terminated,1986,1986,1985,2001,DNK,SGP,DNK - SGP
Denmark,Solomon Islands,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,SLB,DNK - SLB
Denmark,Tajikistan,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1988,NA,DNK,TJK,DNK - TJK
Denmark,Thailand,Income and Capital Tax Treaty(1965),Status: Terminated,1965,1965,1965,2000,DNK,THA,DNK - THA
Denmark,Turkmenistan,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1988,2000,DNK,TKM,DNK - TKM
Denmark,Tuvalu,Income Tax Treaty(1954),Status: Terminated,1954,1954,1954,1993,DNK,TUV,DNK - TUV
Denmark,Uzbekistan,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1988,2003,DNK,UZB,DNK - UZB
Fiji,Switzerland,Income Tax Treaty(1963),Status: Terminated,1963,1961,1961,NA,FJI,CHE,FJI - CHE
Finland,India,Income and Capital Tax Treaty(1983),Status: Terminated,1983,1984,1985,2011,FIN,IND,FIN - IND
Finland,Kazakhstan,Income Tax Treaty(1987),Status: Terminated,1987,1988,1987,NA,FIN,KAZ,FIN - KAZ
Finland,Kyrgyzstan,Income Tax Treaty(1987),Status: Terminated,1987,1988,1987,NA,FIN,KGZ,FIN - KGZ
Finland,Singapore,Income Tax Treaty(1981),Status: Terminated,1981,1982,1983,2003,FIN,SGP,FIN - SGP
Finland,Sri Lanka,Income and Capital Tax Treaty(1982),Status: Terminated,1982,1984,1981,2019,FIN,LKA,FIN - LKA
Finland,Tajikistan,Income Tax Treaty(1987),Status: Terminated,1987,1988,1987,NA,FIN,TJK,FIN - TJK
Finland,Turkmenistan,Income Tax Treaty(1987),Status: Terminated,1987,1988,1987,NA,FIN,TKM,FIN - TKM
Finland,Uzbekistan,Income Tax Treaty(1987),Status: Terminated,1987,1988,1987,NA,FIN,UZB,FIN - UZB
France,India,Income Tax Treaty(1969),Status: Terminated,1969,1970,1970,1995,FRA,IND,FRA - IND
France,Japan,Income Tax Treaty(1964),Status: Terminated,1964,1965,1965,1997,FRA,JPN,FRA - JPN
Egypt,Serbia and Montenegro,Income Tax Treaty(1987),Status: Terminated,1987,1988,1989,2007,EGY,NA,EGY - NA
Egypt,Sudan,Income Tax Treaty(1970),Status: Terminated,1970,1975,1975,2004,EGY,SDN,EGY - SDN
Egypt,Sweden,Income and Capital Tax Treaty(1958),Status: Terminated,1958,1959,1958,1997,EGY,SWE,EGY - SWE
Finland,Morocco,Income and Capital Tax Treaty(1973),Status: Terminated,1973,1980,1980,2013,FIN,MAR,FIN - MAR
France,Gabon,"Income, Inheritance, Registration and Stamp Tax Treaty(1966)",Status: Terminated,1966,1969,1963,2009,FRA,GAB,FRA - GAB
France,Mayotte,"Income, Inheritance, Registration and Stamp Tax Treaty(1970)","Status: Terminated
 Conclusion Date: 27 March 1970 (France);  8 June 1970 (Comoros). 
 Entry into Force: 23 June 1971 (see the note below). 
 Effective Date: 1 January 1968 (income); 23 June 1971 (succession and registration) (see Article 42). 
 Termination Date: 1 January 2014.
Note:  According to the French tax authorities, (Guideline 14 B-1-93 of 13 January 1993), this Convention no longer applies to the Federal Islamic Republic of the Comoros since its independence, 3 January 1976. However, France continues to apply its provisions to Comoros-source income attributed, at the latest, to 1991 or to an accounting period closed in 1991. There is no indication as to whether the same applies to French-source income derived by residents of the Comoros.  This Convention no longer applies to the island of Mayotte, which is a French overseas department (département d'outre-mer, DOM) since 31 March 2011.
 Note:  The treaty article headings reproduced below are unofficial headings prepared by IBFD based on the topic of the treaty articles.
",NA,NA,NA,NA,FRA,MYT,FRA - MYT
Gambia,Norway,Income Tax Treaty(1955),Status: Terminated,1955,1955,1954,1998,GMB,NOR,GMB - NOR
Gambia,South Africa,Income Tax Treaty(1960),Status: Terminated,1960,1960,1951,NA,GMB,ZAF,GMB - ZAF
Germany,Mauritius,Income and Capital Tax Treaty(1978),Status: Terminated,1978,1981,1979,2013,DEU,MUS,DEU - MUS
Germany,Tunisia,Income and Capital Tax Treaty(1975),Status: Terminated,1975,1976,1976,2020,DEU,TUN,DEU - TUN
Ghana,United Kingdom,Income Tax Treaty(1947),Status: Terminated,1947,1947,1946,1995,GHA,GBR,GHA - GBR
India,Kenya,Income Tax Treaty(1985),Status: Terminated,1985,1985,1985,2017,IND,KEN,IND - KEN
India,Tanzania,Income Tax Treaty(1979),Status: Terminated,1979,1981,1982,2012,IND,TZA,IND - TZA
Indonesia,Mauritius,Income Tax Treaty(1996),Status: Terminated,1996,1998,1998,2005,IDN,MUS,IDN - MUS
Ireland,Zambia,Income Tax Treaty(1971),Status: Terminated,1971,1973,1967,2016,IRL,ZMB,IRL - ZMB
Kenya,Switzerland,Income Tax Treaty(1963),Status: Terminated,1963,1961,1961,NA,KEN,CHE,KEN - CHE
Japan,Seychelles,Income Tax Treaty(1970),Status: Terminated,1970,1970,1963,NA,JPN,SYC,JPN - SYC
Lesotho,South Africa,Income Tax Treaty(1995),Status: Terminated,1995,1997,1997,2017,LSO,ZAF,LSO - ZAF
Lesotho,South Africa,Income Tax Treaty(1959),Status: Terminated,1959,1959,1956,1997,LSO,ZAF,LSO - ZAF
Lesotho,United Kingdom,Income Tax Treaty(1997),Status: Terminated,1997,1997,1998,2019,LSO,GBR,LSO - GBR
