year,value,host,type_fdi,home,indicator
2015,1569.850526353162,BRA,total,ESP,million_USD
2016,1772.4958795511732,BRA,total,ESP,million_USD
2017,2019.5638077464453,BRA,total,ESP,million_USD
2018,1319.1847165651243,BRA,total,ESP,million_USD
2019,2528.468244976916,BRA,total,ESP,million_USD
2007,NA,CMR,total,ESP,million_USD
2008,NA,CMR,total,ESP,million_USD
2009,NA,CMR,total,ESP,million_USD
2010,NA,CMR,total,ESP,million_USD
2011,NA,CMR,total,ESP,million_USD
2012,NA,CMR,total,ESP,million_USD
2013,NA,CMR,total,ESP,million_USD
2014,NA,CMR,total,ESP,million_USD
2015,NA,CMR,total,ESP,million_USD
2016,NA,CMR,total,ESP,million_USD
2017,NA,CMR,total,ESP,million_USD
2018,NA,CMR,total,ESP,million_USD
2019,NA,CMR,total,ESP,million_USD
2007,31.753993575195434,CHN,total,ESP,million_USD
2008,32.00362393976964,CHN,total,ESP,million_USD
2009,96.29573838355941,CHN,total,ESP,million_USD
2010,75.59236334181348,CHN,total,ESP,million_USD
2011,70.85051237865633,CHN,total,ESP,million_USD
2012,132.66729878279102,CHN,total,ESP,million_USD
2013,194.3037008015194,CHN,total,ESP,million_USD
2014,194.26672051524588,CHN,total,ESP,million_USD
2015,104.79354174433259,CHN,total,ESP,million_USD
2016,127.69240475924292,CHN,total,ESP,million_USD
2017,87.82136587415812,CHN,total,ESP,million_USD
2018,202.34466616200564,CHN,total,ESP,million_USD
2019,171.74982872035076,CHN,total,ESP,million_USD
2007,74.75961802015152,COL,total,ESP,million_USD
2008,243.43933063008603,COL,total,ESP,million_USD
2009,369.79850981507985,COL,total,ESP,million_USD
2010,443.00147552263064,COL,total,ESP,million_USD
2011,1179.2225652618129,COL,total,ESP,million_USD
2012,2328.8083069309223,COL,total,ESP,million_USD
2013,2310.062487963929,COL,total,ESP,million_USD
2014,3069.555005260865,COL,total,ESP,million_USD
2015,2450.3270845537986,COL,total,ESP,million_USD
2016,1974.8157282153059,COL,total,ESP,million_USD
2017,2250.176795005908,COL,total,ESP,million_USD
2018,2511.3223969115693,COL,total,ESP,million_USD
2019,1983.4071440405876,COL,total,ESP,million_USD
2007,NA,COG,total,ESP,million_USD
2008,NA,COG,total,ESP,million_USD
2009,NA,COG,total,ESP,million_USD
2010,NA,COG,total,ESP,million_USD
2011,NA,COG,total,ESP,million_USD
2012,NA,COG,total,ESP,million_USD
2013,NA,COG,total,ESP,million_USD
2014,NA,COG,total,ESP,million_USD
2015,NA,COG,total,ESP,million_USD
2016,NA,COG,total,ESP,million_USD
2017,NA,COG,total,ESP,million_USD
2018,NA,COG,total,ESP,million_USD
2019,NA,COG,total,ESP,million_USD
2007,NA,CIV,total,ESP,million_USD
2008,0,CIV,total,ESP,million_USD
2009,NA,CIV,total,ESP,million_USD
2010,NA,CIV,total,ESP,million_USD
2011,NA,CIV,total,ESP,million_USD
2012,NA,CIV,total,ESP,million_USD
2013,NA,CIV,total,ESP,million_USD
2014,NA,CIV,total,ESP,million_USD
2015,NA,CIV,total,ESP,million_USD
2016,NA,CIV,total,ESP,million_USD
2017,NA,CIV,total,ESP,million_USD
2018,NA,CIV,total,ESP,million_USD
2019,NA,CIV,total,ESP,million_USD
2007,0,ECU,total,ESP,million_USD
2008,13.722142066086894,ECU,total,ESP,million_USD
2009,-0.25106073159097186,ECU,total,ESP,million_USD
2010,21.52963838426957,ECU,total,ESP,million_USD
2011,30.24718337894306,ECU,total,ESP,million_USD
2012,167.49792506597393,ECU,total,ESP,million_USD
2013,200.78491788908886,ECU,total,ESP,million_USD
2014,142.12305108883953,ECU,total,ESP,million_USD
2015,144.4808364843514,ECU,total,ESP,million_USD
2016,288.514435683917,ECU,total,ESP,million_USD
2017,411.8815281414721,ECU,total,ESP,million_USD
2018,465.933609125468,ECU,total,ESP,million_USD
2019,334.8237274929586,ECU,total,ESP,million_USD
2007,399.7686631801686,EGY,total,ESP,million_USD
2008,508.07223759160956,EGY,total,ESP,million_USD
2009,466.6661087539299,EGY,total,ESP,million_USD
2010,385.01462928322474,EGY,total,ESP,million_USD
2011,372.4871731341538,EGY,total,ESP,million_USD
2012,367.9892283301085,EGY,total,ESP,million_USD
2013,327.48739947804955,EGY,total,ESP,million_USD
2014,360.39578705721055,EGY,total,ESP,million_USD
2015,379.44249170083964,EGY,total,ESP,million_USD
2016,177.3702404526793,EGY,total,ESP,million_USD
2017,55.89659356127274,EGY,total,ESP,million_USD
2018,201.84866546288083,EGY,total,ESP,million_USD
2019,217.53634934779396,EGY,total,ESP,million_USD
2007,NA,SLV,total,ESP,million_USD
2008,NA,SLV,total,ESP,million_USD
2009,NA,SLV,total,ESP,million_USD
2010,0,SLV,total,ESP,million_USD
2011,0,SLV,total,ESP,million_USD
2012,58.23947950633273,SLV,total,ESP,million_USD
2013,83.33942054200506,SLV,total,ESP,million_USD
2014,139.37305374584184,SLV,total,ESP,million_USD
2015,90.5141041344908,SLV,total,ESP,million_USD
2016,101.61375482748353,SLV,total,ESP,million_USD
2017,106.77740548527689,SLV,total,ESP,million_USD
2018,113.91482723232792,SLV,total,ESP,million_USD
2019,403.50350843412343,SLV,total,ESP,million_USD
2007,-22.092118102380248,PHL,total,ESP,million_USD
2008,NA,PHL,total,ESP,million_USD
2009,NA,PHL,total,ESP,million_USD
2010,NA,PHL,total,ESP,million_USD
2011,NA,PHL,total,ESP,million_USD
2012,-13.734393027193843,PHL,total,ESP,million_USD
2013,409.47213939929213,PHL,total,ESP,million_USD
2014,426.1433080740985,PHL,total,ESP,million_USD
2015,730.3261081819957,PHL,total,ESP,million_USD
2016,720.8931384149804,PHL,total,ESP,million_USD
2017,379.2789474992261,PHL,total,ESP,million_USD
2018,7.5699154318807995,PHL,total,ESP,million_USD
2019,7.500481374177746,PHL,total,ESP,million_USD
2007,NA,GAB,total,ESP,million_USD
2008,NA,GAB,total,ESP,million_USD
2009,NA,GAB,total,ESP,million_USD
2010,NA,GAB,total,ESP,million_USD
2011,NA,GAB,total,ESP,million_USD
2012,NA,GAB,total,ESP,million_USD
2013,NA,GAB,total,ESP,million_USD
2014,NA,GAB,total,ESP,million_USD
2015,NA,GAB,total,ESP,million_USD
2016,NA,GAB,total,ESP,million_USD
2017,NA,GAB,total,ESP,million_USD
2018,NA,GAB,total,ESP,million_USD
2019,NA,GAB,total,ESP,million_USD
2007,NA,GEO,total,ESP,million_USD
2008,NA,GEO,total,ESP,million_USD
2009,NA,GEO,total,ESP,million_USD
2010,NA,GEO,total,ESP,million_USD
2011,NA,GEO,total,ESP,million_USD
2012,NA,GEO,total,ESP,million_USD
2013,NA,GEO,total,ESP,million_USD
2014,NA,GEO,total,ESP,million_USD
2015,NA,GEO,total,ESP,million_USD
2016,NA,GEO,total,ESP,million_USD
2017,NA,GEO,total,ESP,million_USD
2018,NA,GEO,total,ESP,million_USD
2019,NA,GEO,total,ESP,million_USD
2007,NA,GHA,total,ESP,million_USD
