iso3c,year,category,conduit
ASM,2010,royalties_general,NA
ASM,2010,technical_services,NA
ASM,2010,shares,NA
ASM,2010,land_rich,NA
ASM,2011,dividends_subst,NA
ASM,2011,interest_general,NA
ASM,2011,royalties_general,NA
ASM,2011,technical_services,NA
ASM,2011,shares,NA
ASM,2011,land_rich,NA
ASM,2012,dividends_subst,NA
ASM,2012,interest_general,NA
ASM,2012,royalties_general,NA
ASM,2012,technical_services,NA
ASM,2012,shares,NA
ASM,2012,land_rich,NA
ASM,2013,dividends_subst,NA
ASM,2013,interest_general,NA
ASM,2013,royalties_general,NA
ASM,2013,technical_services,NA
ASM,2013,shares,NA
ASM,2013,land_rich,NA
ASM,2014,dividends_subst,NA
ASM,2014,interest_general,NA
ASM,2014,royalties_general,NA
ASM,2014,technical_services,NA
ASM,2014,shares,NA
ASM,2014,land_rich,NA
ASM,2015,dividends_subst,NA
ASM,2015,interest_general,NA
ASM,2015,royalties_general,NA
ASM,2015,technical_services,NA
ASM,2015,shares,NA
ASM,2015,land_rich,NA
ASM,2016,dividends_subst,NA
ASM,2016,interest_general,NA
ASM,2016,royalties_general,NA
ASM,2016,technical_services,NA
ASM,2016,shares,NA
ASM,2016,land_rich,NA
ASM,2017,dividends_subst,NA
ASM,2017,interest_general,NA
ASM,2017,royalties_general,NA
ASM,2017,technical_services,NA
ASM,2017,shares,NA
ASM,2017,land_rich,NA
ASM,2018,dividends_subst,NA
ASM,2018,interest_general,NA
ASM,2018,royalties_general,NA
ASM,2018,technical_services,NA
ASM,2018,shares,NA
ASM,2018,land_rich,NA
ASM,2019,dividends_subst,NA
ASM,2019,interest_general,NA
ASM,2019,royalties_general,NA
ASM,2019,technical_services,NA
ASM,2019,shares,NA
ASM,2019,land_rich,NA
ASM,2020,dividends_subst,NA
ASM,2020,interest_general,NA
ASM,2020,royalties_general,NA
ASM,2020,technical_services,NA
ASM,2020,shares,NA
ASM,2020,land_rich,NA
ASM,2021,dividends_subst,NA
ASM,2021,interest_general,NA
ASM,2021,royalties_general,NA
ASM,2021,technical_services,NA
ASM,2021,shares,NA
ASM,2021,land_rich,NA
AND,2004,dividends_subst,NA
AND,2004,interest_general,NA
AND,2004,royalties_general,NA
AND,2004,technical_services,NA
AND,2004,shares,NA
AND,2004,land_rich,NA
AND,2005,dividends_subst,NA
AND,2005,interest_general,NA
AND,2005,royalties_general,NA
AND,2005,technical_services,NA
AND,2005,shares,NA
AND,2005,land_rich,NA
AND,2006,dividends_subst,NA
AND,2006,interest_general,NA
AND,2006,royalties_general,NA
AND,2006,technical_services,NA
AND,2006,shares,NA
AND,2006,land_rich,NA
AND,2007,dividends_subst,NA
AND,2007,interest_general,NA
AND,2007,royalties_general,NA
AND,2007,technical_services,NA
AND,2007,shares,NA
AND,2007,land_rich,NA
AND,2008,dividends_subst,NA
AND,2008,interest_general,NA
AND,2008,royalties_general,NA
AND,2008,technical_services,NA
AND,2008,shares,NA
AND,2008,land_rich,NA
AND,2009,dividends_subst,NA
AND,2009,interest_general,NA
AND,2009,royalties_general,NA
AND,2009,technical_services,NA
AND,2009,shares,NA
AND,2009,land_rich,NA
AND,2010,dividends_subst,NA
AND,2010,interest_general,NA
AND,2010,royalties_general,NA
AND,2010,technical_services,NA
AND,2010,shares,NA
AND,2010,land_rich,NA
AND,2011,dividends_subst,NA
AND,2011,interest_general,NA
AND,2011,royalties_general,NA
AND,2011,technical_services,NA
AND,2011,shares,NA
AND,2011,land_rich,NA
AND,2012,dividends_subst,NA
AND,2012,interest_general,NA
AND,2012,royalties_general,NA
AND,2012,technical_services,NA
AND,2012,shares,NA
AND,2012,land_rich,NA
AND,2013,dividends_subst,NA
AND,2013,interest_general,NA
AND,2013,royalties_general,NA
AND,2013,technical_services,NA
AND,2013,shares,NA
AND,2013,land_rich,NA
AND,2014,dividends_subst,NA
AND,2014,interest_general,NA
AND,2014,royalties_general,NA
AND,2014,technical_services,NA
AND,2014,shares,NA
AND,2014,land_rich,NA
AND,2015,dividends_subst,NA
AND,2015,interest_general,NA
AND,2015,royalties_general,NA
AND,2015,technical_services,NA
AND,2015,shares,NA
AND,2015,land_rich,NA
AND,2016,dividends_subst,NA
AND,2016,interest_general,NA
AND,2016,royalties_general,NA
AND,2016,technical_services,NA
AND,2016,shares,NA
AND,2016,land_rich,NA
AND,2017,dividends_subst,NA
AND,2017,interest_general,NA
AND,2017,royalties_general,NA
AND,2017,technical_services,NA
AND,2017,shares,NA
AND,2017,land_rich,NA
AND,2018,dividends_subst,NA
AND,2018,interest_general,NA
AND,2018,royalties_general,NA
AND,2018,technical_services,NA
AND,2018,shares,NA
AND,2018,land_rich,NA
AND,2019,dividends_subst,NA
AND,2019,interest_general,NA
AND,2019,royalties_general,NA
AND,2019,technical_services,NA
AND,2019,shares,NA
AND,2019,land_rich,NA
AND,2020,dividends_subst,NA
AND,2020,interest_general,NA
AND,2020,royalties_general,NA
AND,2020,technical_services,NA
AND,2020,shares,NA
AND,2020,land_rich,NA
AND,2021,dividends_subst,NA
AND,2021,interest_general,NA
AND,2021,royalties_general,NA
AND,2021,technical_services,NA
AND,2021,shares,NA
AND,2021,land_rich,NA
AGO,2004,dividends_subst,NA
AGO,2004,interest_general,NA
AGO,2004,royalties_general,NA
AGO,2004,technical_services,NA
AGO,2004,shares,NA
AGO,2004,land_rich,NA
AGO,2005,dividends_subst,NA
AGO,2005,interest_general,NA
AGO,2005,royalties_general,NA
AGO,2005,technical_services,NA
AGO,2005,shares,NA
AGO,2005,land_rich,NA
AGO,2006,dividends_subst,NA
AGO,2006,interest_general,NA
AGO,2006,royalties_general,NA
AGO,2006,technical_services,NA
AGO,2006,shares,NA
AGO,2006,land_rich,NA
AGO,2007,dividends_subst,NA
AGO,2007,interest_general,NA
AGO,2007,royalties_general,NA
AGO,2007,technical_services,NA
AGO,2007,shares,NA
AGO,2007,land_rich,NA
AGO,2008,dividends_subst,NA
AGO,2008,interest_general,NA
AGO,2008,royalties_general,NA
AGO,2008,technical_services,NA
AGO,2008,shares,NA
AGO,2008,land_rich,NA
AGO,2009,dividends_subst,NA
AGO,2009,interest_general,NA
AGO,2009,royalties_general,NA
AGO,2009,technical_services,NA
AGO,2009,shares,NA
AGO,2009,land_rich,NA
AGO,2010,dividends_subst,NA
AGO,2010,interest_general,NA
AGO,2010,royalties_general,NA
AGO,2010,technical_services,NA
AGO,2010,shares,NA
AGO,2010,land_rich,NA
AGO,2011,dividends_subst,NA
AGO,2011,interest_general,NA
AGO,2011,royalties_general,NA
AGO,2011,technical_services,NA
AGO,2011,shares,NA
AGO,2011,land_rich,NA
AGO,2012,dividends_subst,NA
AGO,2012,interest_general,NA
AGO,2012,royalties_general,NA
AGO,2012,technical_services,NA
AGO,2012,shares,NA
AGO,2012,land_rich,NA
AGO,2013,dividends_subst,NA
AGO,2013,interest_general,NA
AGO,2013,royalties_general,NA
AGO,2013,technical_services,NA
AGO,2013,shares,NA
AGO,2013,land_rich,NA
AGO,2014,dividends_subst,NA
AGO,2014,interest_general,NA
AGO,2014,royalties_general,NA
AGO,2014,technical_services,NA
AGO,2014,shares,NA
AGO,2014,land_rich,NA
AGO,2015,dividends_subst,NA
AGO,2015,interest_general,NA
AGO,2015,royalties_general,NA
AGO,2015,technical_services,NA
AGO,2015,shares,NA
AGO,2015,land_rich,NA
AGO,2016,dividends_subst,NA
AGO,2016,interest_general,NA
AGO,2016,royalties_general,NA
AGO,2016,technical_services,NA
AGO,2016,shares,NA
AGO,2016,land_rich,NA
AGO,2017,dividends_subst,NA
AGO,2017,interest_general,NA
AGO,2017,royalties_general,NA
AGO,2017,technical_services,NA
AGO,2017,shares,NA
AGO,2017,land_rich,NA
AGO,2018,dividends_subst,NA
AGO,2018,interest_general,NA
AGO,2018,royalties_general,NA
AGO,2018,technical_services,NA
AGO,2018,shares,NA
AGO,2018,land_rich,NA
AGO,2019,dividends_subst,NA
AGO,2019,interest_general,NA
AGO,2019,royalties_general,NA
AGO,2019,technical_services,NA
AGO,2019,shares,NA
AGO,2019,land_rich,NA
AGO,2020,dividends_subst,NA
AGO,2020,interest_general,NA
AGO,2020,royalties_general,NA
AGO,2020,technical_services,NA
AGO,2020,shares,NA
AGO,2020,land_rich,NA
AGO,2021,dividends_subst,NA
AGO,2021,interest_general,NA
AGO,2021,royalties_general,NA
AGO,2021,technical_services,NA
AGO,2021,shares,NA
AGO,2021,land_rich,NA
AIA,2004,dividends_subst,NA
AIA,2004,interest_general,NA
AIA,2004,royalties_general,NA
AIA,2004,technical_services,NA
AIA,2004,shares,NA
AIA,2004,land_rich,NA
AIA,2005,dividends_subst,NA
AIA,2005,interest_general,NA
AIA,2005,royalties_general,NA
AIA,2005,technical_services,NA
AIA,2005,shares,NA
AIA,2005,land_rich,NA
AIA,2006,dividends_subst,NA
AIA,2006,interest_general,NA
AIA,2006,royalties_general,NA
AIA,2006,technical_services,NA
AIA,2006,shares,NA
AIA,2006,land_rich,NA
AIA,2007,dividends_subst,NA
AIA,2007,interest_general,NA
AIA,2007,royalties_general,NA
AIA,2007,technical_services,NA
AIA,2007,shares,NA
AIA,2007,land_rich,NA
AIA,2008,dividends_subst,NA
AIA,2008,interest_general,NA
AIA,2008,royalties_general,NA
AIA,2008,technical_services,NA
AIA,2008,shares,NA
AIA,2008,land_rich,NA
AIA,2009,dividends_subst,NA
AIA,2009,interest_general,NA
AIA,2009,royalties_general,NA
AIA,2009,technical_services,NA
AIA,2009,shares,NA
AIA,2009,land_rich,NA
AIA,2010,dividends_subst,NA
AIA,2010,interest_general,NA
AIA,2010,royalties_general,NA
AIA,2010,technical_services,NA
AIA,2010,shares,NA
AIA,2010,land_rich,NA
AIA,2011,dividends_subst,NA
AIA,2011,interest_general,NA
AIA,2011,royalties_general,NA
AIA,2011,technical_services,NA
AIA,2011,shares,NA
AIA,2011,land_rich,NA
AIA,2012,dividends_subst,NA
AIA,2012,interest_general,NA
AIA,2012,royalties_general,NA
AIA,2012,technical_services,NA
AIA,2012,shares,NA
AIA,2012,land_rich,NA
AIA,2013,dividends_subst,NA
AIA,2013,interest_general,NA
AIA,2013,royalties_general,NA
AIA,2013,technical_services,NA
AIA,2013,shares,NA
AIA,2013,land_rich,NA
AIA,2014,dividends_subst,NA
AIA,2014,interest_general,NA
AIA,2014,royalties_general,NA
AIA,2014,technical_services,NA
AIA,2014,shares,NA
AIA,2014,land_rich,NA
AIA,2015,dividends_subst,NA
AIA,2015,interest_general,NA
AIA,2015,royalties_general,NA
AIA,2015,technical_services,NA
AIA,2015,shares,NA
AIA,2015,land_rich,NA
AIA,2016,dividends_subst,NA
AIA,2016,interest_general,NA
AIA,2016,royalties_general,NA
AIA,2016,technical_services,NA
AIA,2016,shares,NA
AIA,2016,land_rich,NA
AIA,2017,dividends_subst,NA
AIA,2017,interest_general,NA
AIA,2017,royalties_general,NA
AIA,2017,technical_services,NA
AIA,2017,shares,NA
AIA,2017,land_rich,NA
AIA,2018,dividends_subst,NA
AIA,2018,interest_general,NA
AIA,2018,royalties_general,NA
AIA,2018,technical_services,NA
AIA,2018,shares,NA
AIA,2018,land_rich,NA
AIA,2019,dividends_subst,NA
AIA,2019,interest_general,NA
AIA,2019,royalties_general,NA
AIA,2019,technical_services,NA
AIA,2019,shares,NA
AIA,2019,land_rich,NA
AIA,2020,dividends_subst,NA
AIA,2020,interest_general,NA
AIA,2020,royalties_general,NA
AIA,2020,technical_services,NA
AIA,2020,shares,NA
AIA,2020,land_rich,NA
AIA,2021,dividends_subst,NA
AIA,2021,interest_general,NA
AIA,2021,royalties_general,NA
AIA,2021,technical_services,NA
AIA,2021,shares,NA
AIA,2021,land_rich,NA
ATA,2004,dividends_subst,NA
ATA,2004,interest_general,NA
ATA,2004,royalties_general,NA
ATA,2004,technical_services,NA
ATA,2004,shares,NA
ATA,2004,land_rich,NA
ATA,2005,dividends_subst,NA
ATA,2005,interest_general,NA
ATA,2005,royalties_general,NA
ATA,2005,technical_services,NA
ATA,2005,shares,NA
ATA,2005,land_rich,NA
ATA,2006,dividends_subst,NA
ATA,2006,interest_general,NA
ATA,2006,royalties_general,NA
ATA,2006,technical_services,NA
ATA,2006,shares,NA
ATA,2006,land_rich,NA
ATA,2007,dividends_subst,NA
ATA,2007,interest_general,NA
ATA,2007,royalties_general,NA
ATA,2007,technical_services,NA
ATA,2007,shares,NA
ATA,2007,land_rich,NA
ATA,2008,dividends_subst,NA
ATA,2008,interest_general,NA
ATA,2008,royalties_general,NA
ATA,2008,technical_services,NA
ATA,2008,shares,NA
ATA,2008,land_rich,NA
ATA,2009,dividends_subst,NA
ATA,2009,interest_general,NA
ATA,2009,royalties_general,NA
ATA,2009,technical_services,NA
ATA,2009,shares,NA
ATA,2009,land_rich,NA
ATA,2010,dividends_subst,NA
ATA,2010,interest_general,NA
ATA,2010,royalties_general,NA
ATA,2010,technical_services,NA
ATA,2010,shares,NA
ATA,2010,land_rich,NA
ATA,2011,dividends_subst,NA
ATA,2011,interest_general,NA
ATA,2011,royalties_general,NA
ATA,2011,technical_services,NA
ATA,2011,shares,NA
ATA,2011,land_rich,NA
ATA,2012,dividends_subst,NA
ATA,2012,interest_general,NA
